"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0000008"	18.7472705563301	0.734865382334738	0.378697541634361	1.9405074011393	0.0523180555917216	0.0773765812276587	"a"	"Q9W283"	"Arc"
"FBgn0000014"	247.12384913774	-2.04097083218455	0.521749638380033	-3.91178197750459	NA	NA	"abd-A"	"E1JIM9"	"ABD-A"
"FBgn0000015"	134.341734701372	-5.5550805557605	0.779953950453323	-7.12231863500632	NA	NA	"Abd-B"	"A0A0B4KGT1"	"9"
"FBgn0000017"	406.087282139703	-0.486074290644108	0.436250437695563	-1.11420929045191	0.265189410706508	0.330147028769501	"Abl"	"A8JNU2"	"4674"
"FBgn0000018"	147.137704044812	1.08455157682673	0.344974224578077	3.14386264119645	0.00166733683027754	0.00312189019077195	"abo"	"Q9VKM4"	"Abo"
"FBgn0000024"	22.3219690758415	-1.80839468282912	0.582557297658574	-3.10423487972334	0.00190771816678505	0.00354374286514478	"Ace"	"E1JIJ8"	"ACE"
"FBgn0000028"	146.397684937279	1.2825131611256	0.21390560518266	5.99569684034425	2.02614701023671e-09	6.66679587941770e-09	"acj6"	"P24350"	"ACJ6"
"FBgn0000032"	328.714583490696	0.937983909151247	0.112746737572539	8.31938847496819	8.84183072799079e-17	4.53014427811591e-16	"Acph-1"	"Q9VAD0"	"ACP"
"FBgn0000036"	10.381619876659	2.38310634107497	0.584637343014794	4.07621300546084	4.57750903384729e-05	0.000102892609189791	"nAChRalpha1"	"A0A0B4KGU3"	"ALS"
"FBgn0000037"	8.31410816403317	2.85342347335477	0.585208253799598	4.87591119029554	1.08307331387424e-06	2.85171855319046e-06	"mAChR-A"	"P16395"	"Acr60C"
"FBgn0000038"	30.8654926193158	2.7581966862112	0.322026875438263	8.56511333862251	1.07969589242946e-17	5.80857167054779e-17	"nAChRbeta1"	"E8NHB5"	"AChR"
"FBgn0000039"	0.680244462585221	0.477292917292226	1.80600273670174	0.264281392044784	0.79156309769991	0.831687897534204	"nAChRalpha2"	"P17644"	"Acr96Ab"
"FBgn0000042"	3751.76887066605	-1.98859409986314	0.225371461969936	-8.82362869939769	1.10809209168491e-18	6.26684346505042e-18	"Act5C"	"P10987"	"A"
"FBgn0000043"	3825.41793388025	-0.513048216101571	0.200641547164429	-2.55703877562866	0.0105567449197916	0.0175636667248394	"Act42A"	"P02572"	"42A"
"FBgn0000044"	2.22017155852236	3.37316886045264	1.47082717750686	2.29338219475272	0.0218260108080881	0.0346155839996809	"Act57B"	"C8VV69"	"Act57"
"FBgn0000045"	2.83072408266979	-0.0334272048179695	0.840797865657797	-0.0397565291056225	0.96828723355805	0.976186452781986	"Act79B"	"M9PFZ6"	"143060_f_at"
"FBgn0000046"	926.858535460292	2.51461238683684	0.146273935484654	17.1911173272607	3.0950960717698e-66	7.18096238516097e-65	"Act87E"	"A0A0B4LH50"	"Act87e"
"FBgn0000047"	0.851934330350399	3.10844266849922	1.51491580671437	2.05189136896061	0.0401802208524117	0.0607924633807769	"Act88F"	"B6IDW7"	"Act(88F)"
"FBgn0000052"	64.5519666553314	-0.668123694822299	0.475013921639367	-1.40653497589391	0.159565326252509	0.211758188379232	"ade2"	"P35421"	"153122_at"
"FBgn0000053"	138.003068552132	-1.15335523101353	0.305532797084505	-3.77489828266958	0.000160072966707357	0.000340168456209488	"ade3"	"P00967"	"143062_at"
"FBgn0000057"	559.694237993694	2.12855938290298	0.314354092603327	6.77121574996937	1.27704664641282e-11	4.84659060694531e-11	"adp"	"Q7K7W5"	"CG5124"
"FBgn0000063"	140.008436517112	2.07707667654313	0.256944351994319	8.08376078486073	6.27994572153747e-16	3.09750451426475e-15	"Mps1"	"A0A0B4KG66"	"Ald/Mps1"
"FBgn0000064"	2457.78501350218	-0.078772191191811	0.0976688204799612	-0.806523420726401	0.419941109238926	0.490762593185803	"Ald"	"F3YDE2"	"ALD"
"FBgn0000071"	77.6830440702099	-3.27345846697967	0.615706149797563	-5.31659212443459	1.05728704009308e-07	3.03163800854526e-07	"Ama"	"A4V2I0"	"AMA"
"FBgn0000075"	1.06058252469255	-0.989689432599555	1.51613267046213	-0.652772314640441	0.513903074412061	0.583045227727827	"amd"	"H5V873"	"AMD-r"
"FBgn0000077"	10.7831704098769	-3.20002185005181	0.811533169646641	-3.94318059906925	8.04080573344941e-05	0.000176427845026291	"amx"	"M9NF00"	"BcDNA:GH02974"
"FBgn0000079"	0.714766419717015	4.06042034060153	1.98572031692373	2.04480978816388	0.040873614392361	0.0617458683791755	"Amy-p"	"A0A0B4LGS0"	"AMY"
"FBgn0000083"	359.933334015785	-2.86925512341185	0.287503974097794	-9.97987986919398	1.86692675070683e-23	1.27657151903127e-22	"AnxB9"	"A0A0B4KH34"	"ANXB9"
"FBgn0000084"	94.5371640938274	-0.85958715766281	0.227599861185894	-3.77674728439634	0.00015888980193977	0.000337880441758984	"AnxB10"	"P22465"	"ANXB10"
"FBgn0000092"	1.41721659157472	-0.827290817950144	0.99925210927	-0.827910004167535	0.407721468877615	0.478313289103883	"CG2650"	"O76879"	"0.9"
